	ERR11588428_R1_filtered.fastq.gz	ERR11588429_R1_filtered.fastq.gz	ERR11588430_R1_filtered.fastq.gz	ERR11588431_R1_filtered.fastq.gz	ERR11588432_R1_filtered.fastq.gz	ERR11588433_R1_filtered.fastq.gz	ERR11588434_R1_filtered.fastq.gz	ERR11588435_R1_filtered.fastq.gz	ERR11588436_R1_filtered.fastq.gz	ERR11588437_R1_filtered.fastq.gz
ASV_191	46	34	42	0	0	0	0	0	0	0
ASV_192	37	57	28	0	0	0	0	0	0	0
ASV_193	0	0	0	0	0	0	104	18	0	0
ASV_194	0	0	0	0	0	0	58	64	0	0
ASV_195	54	34	33	0	0	0	0	0	0	0
ASV_196	50	42	29	0	0	0	0	0	0	0
ASV_197	50	38	33	0	0	0	0	0	0	0
ASV_198	24	32	15	0	0	0	26	24	0	0
ASV_199	0	0	0	0	0	0	103	18	0	0
ASV_200	0	0	0	0	0	0	0	121	0	0
ASV_201	30	46	25	0	0	0	11	8	0	0
ASV_202	29	39	28	0	0	0	24	0	0	0
ASV_203	0	0	0	37	13	13	0	0	57	0
ASV_204	0	0	0	0	0	0	0	120	0	0
ASV_205	56	63	0	0	0	0	0	0	0	0
ASV_206	0	0	0	0	0	0	119	0	0	0
ASV_207	0	0	0	0	0	0	17	102	0	0
ASV_208	22	45	27	0	0	0	16	8	0	0
ASV_209	38	44	35	0	0	0	0	0	0	0
ASV_210	0	0	0	52	32	33	0	0	0	0
ASV_211	0	0	0	0	0	0	62	55	0	0
ASV_212	61	55	0	0	0	0	0	0	0	0
ASV_213	36	36	44	0	0	0	0	0	0	0
ASV_214	36	0	30	0	0	0	0	50	0	0
ASV_215	0	116	0	0	0	0	0	0	0	0
ASV_216	0	0	0	42	34	40	0	0	0	0
ASV_217	0	0	0	0	0	0	56	60	0	0
ASV_218	46	33	36	0	0	0	0	0	0	0
ASV_219	0	0	0	0	0	0	39	76	0	0
ASV_220	27	45	27	0	0	0	10	5	0	0
ASV_221	0	56	58	0	0	0	0	0	0	0
ASV_222	0	0	0	12	20	0	65	0	17	0
ASV_223	0	0	0	0	63	51	0	0	0	0
ASV_224	0	0	0	0	0	0	0	0	114	0
ASV_225	61	52	0	0	0	0	0	0	0	0
ASV_226	35	37	41	0	0	0	0	0	0	0
ASV_227	0	0	0	51	61	0	0	0	0	0
ASV_228	39	56	16	0	0	0	0	0	0	0
ASV_229	0	111	0	0	0	0	0	0	0	0
ASV_230	0	0	0	33	31	47	0	0	0	0
ASV_231	0	0	0	0	0	0	111	0	0	0
ASV_232	0	0	0	0	0	0	0	0	111	0
ASV_233	52	25	33	0	0	0	0	0	0	0
ASV_234	48	0	0	0	0	0	62	0	0	0
ASV_235	18	21	14	0	0	0	13	44	0	0
ASV_236	0	0	0	65	45	0	0	0	0	0
ASV_237	0	0	0	55	0	55	0	0	0	0
ASV_238	0	0	0	0	110	0	0	0	0	0
ASV_239	0	0	0	0	0	0	0	110	0	0
ASV_240	68	0	41	0	0	0	0	0	0	0
ASV_241	59	0	50	0	0	0	0	0	0	0
ASV_242	39	28	42	0	0	0	0	0	0	0
ASV_243	0	0	0	0	0	0	44	65	0	0
ASV_244	0	0	0	0	0	0	0	109	0	0
ASV_245	57	0	51	0	0	0	0	0	0	0
ASV_246	30	48	30	0	0	0	0	0	0	0
ASV_247	0	58	50	0	0	0	0	0	0	0
ASV_248	0	0	0	0	108	0	0	0	0	0
ASV_249	107	0	0	0	0	0	0	0	0	0
ASV_250	39	38	30	0	0	0	0	0	0	0
ASV_251	0	0	0	20	0	20	46	21	0	0
ASV_252	0	0	0	0	0	0	0	0	107	0
ASV_253	45	43	18	0	0	0	0	0	0	0
ASV_254	41	34	31	0	0	0	0	0	0	0
ASV_255	0	0	0	11	0	23	41	31	0	0
ASV_256	25	33	21	0	0	0	26	0	0	0
ASV_257	22	44	19	0	0	0	15	5	0	0
ASV_258	0	0	0	37	33	35	0	0	0	0
ASV_259	0	0	0	0	0	0	105	0	0	0
ASV_260	0	0	0	0	0	0	0	105	0	0
ASV_261	0	0	28	0	0	0	45	31	0	0
ASV_262	0	0	0	55	28	21	0	0	0	0
ASV_263	0	0	0	0	0	0	104	0	0	0
ASV_264	0	0	0	0	0	0	104	0	0	0
ASV_265	44	27	32	0	0	0	0	0	0	0
ASV_266	26	40	37	0	0	0	0	0	0	0
ASV_267	0	37	0	0	0	0	66	0	0	0
ASV_268	0	0	0	78	0	25	0	0	0	0
ASV_269	0	0	0	0	42	61	0	0	0	0
ASV_270	0	0	0	0	0	0	0	103	0	0
ASV_271	56	46	0	0	0	0	0	0	0	0
ASV_272	37	23	42	0	0	0	0	0	0	0
ASV_273	33	0	0	0	0	0	34	35	0	0
ASV_274	0	0	0	38	38	26	0	0	0	0
ASV_275	32	45	24	0	0	0	0	0	0	0
ASV_276	26	41	34	0	0	0	0	0	0	0
ASV_277	66	34	0	0	0	0	0	0	0	0
ASV_278	32	68	0	0	0	0	0	0	0	0
ASV_279	0	0	0	100	0	0	0	0	0	0
ASV_280	0	0	0	0	0	0	0	0	100	0
